,0
644,305620
645,342200
646,376570
647,245620
648,214790
649,315260
650,235460
651,21690
652,262060
653,236850
654,2700
655,204060
656,427730
657,303390
658,444640
659,28000
660,200330
661,49600
662,71340
663,235600
664,48240
665,7520
666,34830
667,311340
668,253900
669,7650
670,7660
671,289130
672,364360
673,7730
674,7770
675,330840
676,17330
677,17340
678,306130
679,345520
680,327890
681,221040
682,214830
683,287450
684,7600
685,33460
686,20510
687,249050
688,206480
689,332800
690,219830
691,329380
692,233290
693,107300
694,1930
695,22350
696,427520
697,215510
698,225020
699,223220
700,388410
701,17440
702,263980
703,224980
704,307290
705,444090
706,225000
707,99300
708,233150
709,31290
710,94500
711,94510
712,94520
713,94530
714,213850
715,207930
716,274310
717,227680
718,250600
719,274900
720,17480
721,98800
722,242680
723,264360
724,31220
725,31230
726,31240
727,31250
728,31260
729,65300
730,263540
731,285580
732,375950
733,315430
734,239200
735,209830
736,297020
737,97000
738,17710
739,96800
740,216370
741,225760
742,351570
743,32420
744,277430
745,247120
746,424280
747,211740
748,235540
749,299460
750,35480
751,285900
752,71250
753,208650
754,208200
755,10150
756,225160
757,231060
758,234670
759,214340
760,258180
761,263280
762,367690
763,225600
764,247080
765,291210
766,339800
767,33220
768,220700
769,15710
770,203750
771,219680
772,254040
773,207650
774,326460
775,9880
776,365590
777,31270
778,238070
779,24860
780,104200
781,325610
782,64000
783,311690
784,359050
785,249650
786,94200
787,12150
788,224060
789,307780
790,201480
791,38830
792,301910
793,251670
794,313340
795,70620
796,13140
797,247020
798,219780
799,4770
800,228300
801,278460
802,263500
803,12140
804,3700
805,214360
806,234740
807,332500
808,227480
809,111600
810,234310
811,32440
812,307880
813,220260
814,41800
815,2300
816,9160
817,214970
818,245470
819,257510
820,324810
821,202200
822,2280
823,37400
824,37420
825,209540
826,252410
827,18500
828,278360
829,249990
830,287290
831,22650
832,222750
833,38740
834,41300
835,272890
836,99700
837,231740
838,236370
839,318430
840,228380
841,115100
842,49540
843,13230
844,254700
845,22200
846,40700
847,231140
848,204630
849,233740
850,58520
851,26500
852,341720
853,261510
854,307690
855,300550
856,238370
857,397080
858,233630
859,200390
860,270450
861,204240
862,38700
863,2310
864,283290
865,208730
866,65780
867,220160
868,323470
869,8080
870,26900
871,70650
872,256410
873,2290
874,38720
875,70660
876,341800
877,33900
878,9010
879,9050
880,214870
881,233470
882,207690
883,102700
884,254060
885,99810
886,209270
887,207080
888,254000
889,7510
890,236510
891,258970
892,2500
893,444560
894,272860
895,250760
896,232010
897,342980
898,115110
899,239430
900,254020
901,313740
902,222980
903,94590
904,19680
905,200010
906,237990
907,394230
908,2270
909,214190
910,212200
911,2200
912,274170
913,2350
914,2320
915,233840
916,98400
917,386070
918,355950
919,231040
920,380840
921,39160
922,404410
923,268850
924,261570
925,63000
926,93200
927,281990
928,72000
929,301640
930,22610
931,302510
932,466910
933,214510
934,409160
935,316790
936,354550
937,314160
938,105430
939,250260
940,13240
941,322170
942,251060
943,323320
944,63200
945,105400
946,257710
947,257750
948,244160
949,6870
950,222480
951,248610
952,115320
953,2600
954,265550
955,270370
956,319060
957,29180
958,207570
959,35000
960,35460
961,39650
962,6120
963,301970
964,293180
965,240760
966,404730
967,354540
968,78000
969,107800
970,352460
971,277950
972,292120
973,305260
974,238240
975,57400
976,354510
977,393420
978,445900
979,354520
980,354530
981,17430
982,255220
983,24010
984,252330
985,213610
986,370240
987,295550
988,92000
989,270170
990,2340
991,9040
992,226120
993,2330
994,9030
995,2130
996,4720
997,226720
998,2100
999,227080
1000,494710
1001,354500
1002,226980
1003,346680
1004,362890
1005,259130
1006,209730
1007,293500
1008,12770
1009,11200
1010,227240
1011,25800
1012,96300
1013,337950
1014,351640
1015,16730
1016,204180
1017,232810
1018,422420
1019,367500
1020,18700
1021,256290
1022,25890
1023,34010
1024,65730
1025,238910
1026,232770
1027,225280
1028,312530
1029,207250
1030,227180
1031,238260
1032,235210
1033,253430
1034,218470
1035,332310
1036,215670
1037,240320
